Language	ISO code	Datasets	Models
Tiéyaxo Bozo	boz	6	1
Komi-Zyrian	kpv	6	1
Western Juxtlahuaca Mixtec	jmx	6	1
Talysh	tly	6	1
Central Huasteca Nahuatl	nch	6	1
Shipibo-Conibo	shp	6	15
Kwaio	kwd	6	1
Alur	alz	6	15
Central Sama	sml	6	1
Khasi	kha	6	15
Basque	eus	6	3
Q'anjob'al	kjb	6	2
Jarai	jra	6	2
Tzotzil	tzo	6	18
Obolo	ann	6	15
Konzo	koo	6	1
Inoke-Yate	ino	6	1
Gun	guw	6	16
Lambayeque Quechua	quf	6	15
S'gaw Karen	ksw	6	15
Halia	hla	6	1
Cajamarca Quechua	qvc	5	15
Koonzime	ozm	5	1
Chimborazo Highland Quichua	qug	5	1
Dzongkha	dzo	5	1
Chachi	cbi	5	1
Panao Huánuco Quechua	qxh	5	1
Malagasy	mlg	5	4
Candoshi-Shapra	cbu	5	1
Totontepec Mixe	mto	5	1
Amarakaeri	amr	5	1
Kven Finnish	fkv	5	1
Kamwe	hig	5	2
Awa-Cuaiquer	kwi	5	15
Hunsrik	hrx	5	3
Mumuye	mzm	5	1
Tzeltal	tzh	5	15
Balkan Romani	rmn	5	1
Metlatónoc Mixtec	mxv	5	1
Central Mnong	cmo	5	1
Matal	mfh	5	1
Bora	boa	5	1
Hmong Njua	hnj	5	1
Makonde	kde	5	1
Efik	efi	5	15
Serbo-Croatian	hbs	5	6
Ixil	ixl	5	1
Fijian	fij	5	1
Southern Kurdish	sdh	5	1
Xiang Chinese	hsn	5	1
Siona	snn	5	1
Colorado	cof	5	1
Orizaba Nahuatl	nlv	5	1
Chukot	ckt	5	1
Gonja	gjn	5	1
Adamawa Fulfulde	fub	5	1
Ottoman Turkish (1500-1928)	ota	5	1
Nyemba	nba	5	1
Meta'	mgo	5	1
Arabela	arl	5	1
Makasae	mkz	5	1
Adhola	adh	5	15
Paraguayan Guaraní	gug	5	1
South Bolivian Quechua	quh	5	15
Inari Sami	smn	5	1
Wolaytta	wal	5	19
Cashinahua	cbs	5	1
Guerrero Nahuatl	ngu	5	16
Syriac	syr	5	14
Northern Conchucos Ancash Quechua	qxn	5	1
Makhuwa	vmw	5	1
Kasem	xsm	5	1
Yagua	yad	5	1
Ndonga	ndo	5	1
Fataluku	ddg	5	1
Sharanahua	mcd	5	1
Napo Lowland Quechua	qvo	5	1
Urarina	ura	5	1
Guarayu	gyr	5	1
Páez	pbb	5	2
Digo	dig	5	1
Rundi	run	5	14
Yao	yao	5	1
Mundani	mnf	5	1
Bini	bin	5	1
Lashi	lsi	5	1
Susu	sus	5	15
Bafut	bfd	5	1
Sos Kundi	sdk	5	1
Ido	ido	5	2
Caribbean Hindustani	hns	5	1
Tharaka	thk	5	1
Gronings	gos	5	30
Markweeta	enb	5	1
Chamorro	cha	5	1
Karamojong	kdj	5	1
Southern Ndebele isiNdebele	nr	5	22
Falam Chin	cfm	5	15
Matsés	mcf	5	1
Baoulé	bci	5	18
Serer	srr	5	15
Samoan	smo	5	1
Middle English (1100-1500)	enm	5	1
Wa	wbm	5	1
Eastern Huasteca Nahuatl	nhe	5	15
Lhomi	lhm	5	1
Interlingua (International Auxiliary Language Association)	ina	5	2
Huaylas Ancash Quechua	qwh	5	1
Ntcham	bud	5	1
Pichis Ashéninka	cpu	5	1
Duruma	dug	5	1
Pamona	pmf	5	1
Narom	nrm	5	2
Chayahuita	cbt	5	1
Toma	tod	5	1
Rarotongan	rar	5	1
Classical Syriac	syc	5	1
Warlpiri	wbp	5	1
Pokomo	pkb	5	1
Manado Malay	xmm	5	14
Ngombale	nla	5	1
Toba	tob	5	1
Eastern Maroon Creole	djk	5	15
Guinea Kpelle	gkp	5	1
Walloon	wln	5	2
Aja (Benin)	ajg	5	1
Tiv	tiv	5	25
Ndzwani Comorian	wni	5	1
Kashmiri	kas	5	7
Caquinte	cot	5	1
Southern Balochi	bcc	5	1
Bulu (Cameroon)	bum	5	15
Hre	hre	5	1
Limbum	lmp	5	1
Gilbertese	gil	5	27
Idoma	idu	5	1
Murui Huitoto	huu	5	1
Tedim Chin	ctd	5	1
Tonga (Tonga Islands)	ton	5	2
Nomatsiguenga	not	5	1
Maru	mhx	5	1
Isthmus-Mecayapan Nahuatl	nhx	5	1
Uduk	udu	5	1
Apurinã	apu	5	1
Ese Ejja	ese	5	1
Chol	ctu	5	15
Jinyu Chinese	cjy	5	1
North Junín Quechua	qvn	5	1
Secoya	sey	5	1
Mundurukú	myu	5	1
Waorani	auc	5	1
Yemba	ybb	5	1
West Ambae	nnd	5	3
Mbyá Guaraní	gun	5	1
Northwestern Ojibwa	ojb	5	1
Kituba (Democratic Republic of Congo)	ktu	4	15
Classical Nahuatl	nci	4	2
Manx	glv	4	2
Western Huasteca Nahuatl	nhw	4	1
Multiple languages	mul	4	2
Bashkir	bak	4	2
Western Bukidnon Manobo	mbb	4	1
Tahitian	tah	4	1
Marshallese	mah	4	1
Chuvash	chv	4	2
Emilian	egl	4	3
Congo Swahili	swc	4	12
Guarani	grn	4	2
Imbabura Highland Quichua	qvi	4	15
Interlingue	ile	4	2
Chopi	cce	4	15
Abkhazian	abk	4	1
Khoekhoe	naq	4	1
Guambiano	gum	4	1
Maore Comorian	swb	4	2
Boko (Benin)	bqc	4	15
Zande (individual language)	zne	4	25
Saramaccan	srm	4	15
Hiri Motu	hmo	4	1
Ayutla Mixtec	miy	4	1
Timne	tem	4	1
Kongo	kon	4	1
Navajo	nav	4	2
Tachawit	shy	4	1
Batak Karo	btx	4	15
Ingrian	izh	4	1
Limburgan	lim	4	2
San Marcos Tlacoyalco Popoloca	pls	4	1
Uspanteco	usp	4	1
Tohono O'odham	ood	4	1
Tswa	tsc	4	15
Poqomchi'	poh	4	1
Ojitlán Chinantec	chj	4	1
Belize Kriol English	bzj	4	15
Akeu	aeu	4	1
Ao Naga	njo	4	1
Laz	lzz	4	1
Shilluk	shk	4	1
Azerbaijani	aze	4	13
Gilyak	niv	4	1
Romansh	roh	4	2
Prussian	prg	4	1
Duala	dua	4	1
